Code,Name,Pinyin,Current_date,Net_value,Gross_value,Day_rate,One_week,One_month,Three_month,Six_month,One_year,Two_year,Three_year,From_this_y,From_establish,Establish_date,,,Management_rate,Discounted_m_r,,Discounted_m_r,,
770001,德邦优化混合,DBYHHH,2019-02-22,0.9188,1.7188,1.3010,2.8085,9.1341,8.4898,-1.8796,-11.4836,4.1015,-1.1937,14.9362,61.0110,2012-09-25,1,-12.1195,1.50%,0.15%,1,0.15%,1,37.6868
762001,国金国鑫发起,GJGXFQ,2019-02-22,1.5280,2.2210,1.8259,3.5020,10.9578,2.9231,-3.1653,-19.2506,-18.5847,-6.0769,14.1065,156.4783,2012-08-28,1,-20.3340,1.50%,0.15%,1,0.15%,1,125.8328
750005,安信平稳增长混合发起A,AXPWZZHHFQA,2019-02-22,1.2031,1.6831,0.1999,0.72,2.2088,3.1465,3.2970,2.6799,8.9886,18.0199,3.3680,72.1911,2012-12-18,1,2.5262,1.50%,0.15%,1,0.15%,1,74.2825
750003,安信目标收益债券C,AXMBSYZQC,2019-02-22,1.1340,1.3790,0,0,0.2652,1.6129,3.1847,6.2895,9.4409,10.8351,1.1596,42.3763,2012-09-25,1,6.2895,0.00%,0.00%,,0.00%,0,34.6494
750002,安信目标收益债券A,AXMBSYZQA,2019-02-22,1.15,1.4150,0.0870,0.0870,0.3490,1.86,3.5103,6.8432,10.5112,12.5926,1.2324,46.54,2012-09-25,1,6.7504,0.80%,0.08%,1,0.08%,1,37.7939
750001,安信灵活配置混合,AXLHPZHH,2019-02-22,1.0160,1.6060,0.6938,4.6344,11.2815,14.0292,0.4946,-10.7989,-2.9608,-5.9402,13.1404,63.7805,2012-06-20,1,-12.0281,1.50%,0.15%,1,0.15%,1,40.5836
740101,长安沪深300非周期,CAHS300FZQ,2019-02-22,0.9620,1.4660,1.4768,4,11.2138,9.6921,1.0504,-15.1676,-4.5150,14.4709,15.4862,47.6618,2012-06-25,1,-16.3139,1.50%,0.15%,1,0.15%,1,41.4385
740001,长安宏观策略混合,CAHGCLHH,2019-02-22,1.1130,1.9330,1.9231,4.9011,9.7633,7.0192,-0.8021,-17.9809,-15.1030,-4.2169,10.7463,82.1587,2012-03-09,1,-19.3073,1.50%,0.15%,1,0.15%,1,30.8611
730002,方正富邦红利精选混合,FZFBHLJXHH,2019-02-22,1.1090,1.3790,2.4954,6.6346,6.7372,5.6191,-0.6272,-14.9540,5.2182,17.9328,10.2386,40.5759,2012-11-20,1,-17.5614,1.50%,0.15%,1,0.15%,1,47.5088
730001,方正富邦创新动力混合A,FZFBCXDLHHA,2019-02-22,1.0587,1.8087,3.2576,8.9197,10.6270,8.8078,6.0822,-11.3317,-8.2583,-20.0378,12.7476,63.9570,2011-12-26,1,-14.4388,1.50%,0.15%,1,0.15%,1,31.6962
720003,财通收益增强债券A,CTSYZQZQA,2019-02-22,1.3089,1.3089,1.4966,3.4376,5.5990,6.38,6.8490,5.3950,4.7958,4.7120,7.3661,30.89,2012-12-20,1,3.3578,0.80%,0.08%,1,0.08%,1,28.7021
720002,财通多策略稳健增长债券A,CTDCLWJZZZQA,2019-02-22,0.9780,1.2388,0.7105,1.4944,1.9706,2.9366,3.5908,1.3682,0.2049,0.5139,2.6448,25.4880,2012-07-13,1,0.4664,0.80%,0.08%,1,0.08%,1,18.7429
720001,财通价值动量,CTJZDL,2019-02-22,1.8010,2.2720,4.9534,12.6329,20.2270,25.9441,27.4593,0.6708,13.1874,9.0244,26.0322,138.6216,2011-12-01,1,-5.9251,1.50%,0.15%,1,0.15%,1,115.0560
710302,富安达增强收益债券C,FADZQSYZQC,2019-02-22,1.0855,1.1055,2.0111,4.6972,9.9240,11.9418,8.1498,0.2123,-6.0580,-14.1966,14.5163,10.6807,2012-07-25,1,-2.4649,0.00%,0.00%,,0.00%,0,9.5469
710301,富安达增强收益债券A,FADZQSYZQA,2019-02-22,1.1158,1.1358,2.0113,4.7110,9.9744,12.0619,8.3722,0.6222,-5.2962,-13.1267,14.5938,13.7638,2012-07-25,1,-2.0741,0.80%,0.08%,1,0.08%,1,11.8149
710002,富安达策略精选混合,FADCLJXHH,2019-02-22,2.2876,2.3276,0.7443,2.23,6.5834,4.4280,5.4339,-12.6370,12.0659,28.6108,9.0424,137.0808,2012-04-25,1,-12.8967,1.50%,0.15%,1,0.15%,1,105.5531
710001,富安达优势成长混合,FADYSCZHH,2019-02-22,1.7722,1.7722,3.3232,6.2024,13.0085,7.9031,-1.5171,-14.2166,-2.9782,-5.4877,17.5121,77.22,2011-09-21,1,-17.0483,1.50%,0.15%,1,0.15%,1,45.8721
700006,平安添利债券C,PATLZQC,2019-02-22,1.3352,1.4692,0.0150,0.0524,0.3382,1.5950,3.4694,6.6386,8.7635,7.6513,1.0520,47.3746,2012-11-27,1,6.6147,,0.00%,,,,44.9111
700005,平安添利债券A,PATLZQA,2019-02-22,1.3723,1.5103,0.0073,0.0583,0.3731,1.7056,3.6812,7.0916,9.8077,9.0962,1.1126,51.5346,2012-11-27,1,7.0682,0.80%,0.08%,1,0.08%,1,48.1277
700004,平安灵活配置混合,PALHPZHH,2019-02-22,1.1088,1.3827,0.9009,3.2691,8.8339,9.2091,9.3491,7.86,8.5994,10.1093,10.1530,38.2674,2012-09-11,1,6.6829,1.50%,0.15%,1,0.15%,1,20.9689
700003,平安策略先锋混合,PACLXFHH,2019-02-22,1.5260,1.6260,3.2476,7.9971,16.5775,13.8806,4.8797,-11.4335,-10.8124,-16.5208,19.8743,66.9707,2012-05-29,1,-14.8578,1.50%,0.15%,1,0.15%,1,31.8928
700002,平安深证300指数增强,PASZ300ZSZQ,2019-02-22,1.3930,1.4730,2.2010,5.4504,14.7447,10.9077,2.8804,-19.8965,-9.4278,-2.6555,18.7554,50.0568,2011-12-20,1,-21.5641,1.20%,0.12%,1,0.12%,1,37.6482
700001,平安行业先锋混合,PAHYXFHH,2019-02-22,1.0730,1.3530,1.1310,4.1748,11.6545,10.8471,2.9751,-2.2769,-9.2217,-16.4330,13.5450,37.3785,2011-09-20,1,-3.6430,1.50%,0.15%,1,0.15%,1,-7.8179
690206,民生加银信用双利债券C,MSJYXYSLZQC,2019-02-22,1.51,1.54,1.4785,2.4424,4.7157,7.0922,6.6385,1.0033,-1.7566,-0.0661,6.3381,55.36,2012-04-25,1,-0.6689,0.00%,0.00%,,0.00%,0,47.4610
690202,民生增强收益债券C,MSZQSYZQC,2019-02-22,1.5360,1.9210,1.8568,2.8801,5.4945,6.2461,6.3712,1.3031,-2.8362,-0.7008,7.6384,102.1661,2009-07-21,1,-0.8074,0.00%,0.00%,,0.00%,0,64.4446
690011,民生加银积极成长混合发起式,MSJYJJCZHHFQS,2019-02-22,1.2760,1.2760,2.08,2.9863,8.1356,7.8614,1.7544,-7.7368,-3.0395,-1.0853,9.7163,27.60,2013-01-31,1,-9.1106,1.50%,0.15%,1,0.15%,1,24.2454
690009,民生加银红利回报混合,MSJYHLHBHH,2019-02-22,1.6870,1.9850,1.6878,3.6878,7.0431,4.6526,-1.9186,-11.9979,3.4969,4.6526,9.1203,111.1991,2012-08-09,1,-13.1455,1.50%,0.15%,1,0.15%,1,97.3823
690008,民生中证内地资源主题指数,MSZZNDZYZTZS,2019-02-22,0.6290,0.6290,0.64,3.9669,7.3379,2.7778,-2.1773,-23.4793,-14.3052,1.1254,11.5248,-37.10,2012-03-08,1,-23.7226,1.20%,0.12%,1,0.12%,1,12.1212
690007,民生加银景气行业混合,MSJYJQHYHH,2019-02-22,2.3370,2.3370,2.6350,5.1755,13.0624,11.1798,5.9383,5.0337,13.1171,35.6355,17.0255,133.70,2011-11-22,1,2.2921,1.50%,0.15%,1,0.15%,1,101.4655
690006,民生加银信用双利债券A,MSJYXYSLZQA,2019-02-22,1.5530,1.5830,1.4370,2.4406,4.7201,7.1773,6.8087,1.3707,-1.0198,1.1067,6.3698,59.7626,2012-04-25,1,-0.2611,0.80%,0.08%,1,0.08%,1,50.3388
690005,民生加银内需增长混合,MSJYNXZZHH,2019-02-22,1.5850,1.5850,3.4595,7.8965,17.1471,15.0218,-2.7607,-12.2856,9.6127,20.9924,21.2701,58.50,2011-01-28,1,-15.3846,1.50%,0.15%,1,0.15%,1,72.6580
690004,民生加银稳健成长混合,MSJYWJCZHH,2019-02-22,1.4890,1.4890,0.7442,2.1963,8.9247,2.9026,-5.8191,-6.2343,12.8030,19.3109,11.8708,48.90,2010-06-29,1,-7.1159,1.50%,0.15%,1,0.15%,1,75.1765
690003,民生加银精选混合,MSJYJXHH,2019-02-22,1.0140,1.0140,3.1536,5.4054,3.7871,-9.6257,-9.7865,-19.5238,-5.1450,-6.4576,6.8493,1.40,2010-02-03,1,-22.1429,1.50%,0.15%,1,0.15%,1,38.7141
690002,民生增强收益债券A,MSZQSYZQA,2019-02-22,1.5710,1.9840,1.8146,2.8815,5.5070,6.3154,6.1346,1.3103,-2.4380,0.0114,7.6765,109.1367,2009-07-21,1,-0.8178,0.80%,0.08%,1,0.08%,1,66.8640
690001,民生蓝筹,MSLC,2019-02-22,1.8520,1.8820,1.7024,2.7177,7.5494,5.3470,-5.1715,-11.0898,1.9824,9.1981,11.0312,89.9366,2009-03-27,1,-12.5780,1.50%,0.15%,1,0.15%,1,71.3229
